Name,Type,Vendor,Price $/g,Ratings,Flavor notes
2002 White2tea White Whale,Pu'er,White2tea,0.34,87,"Astringent, Bitter, Smoke, Wood, Camphor, Menthol, Pine, Stonefruit, Tobacco, Wet Wood, Peach, Hay, Oak, Tart, Burnt Sugar, Cranberry, Resin, Spices, Berries, Seaweed, Caramel, Dark Wood, Dust, Malt, Roasted Barley, Scotch, Strawberry, Berry, Red Wine, Tannin, Earth, Tannic, Sweet"
"2015 Milk, Cream, and Alcohol",Pu'er,White2tea,0.24,80,"Dust, Fruit Tree Flowers, Muscatel, Orchid, Tobacco, Apricot, Bitter, Fruity, Honey, Jam, Pear, Plum, Strawberry, Cream, Floral, Peach, Alcohol, Brandy, Astringent, Perfume, Dates, Dried Fruit, Smoke, Wood, Mint, Butter, Sweet, Pine, Citrus, Creamy, Peat, Green, Sugarcane, Pineapple, Tropical, Vegetal"
Mangnuo Tengtiao Cane Tea Sheng Pu-erh from Ancient Tea Tree 2014 First Spring,Pu'er,Ymm,0.8,85,"Butter, Fig, Honey, Musty, Apricot, Honeysuckle, Nectar, Raisins, Winter Honey, Floral, Sugarcane, Sweet, Warm Grass, Creamy, Sweet, Grass, Orange Blossom, Pepper, Vegetal, Bitter, Green, Straw, Fruity"
Menghai Palace Ripened Pu-erh Cake Tea 2008,Pu'er,Teavivre,0.28,84,"Autumn Leaf Pile, Caramel, Cedar, Earth, Wet Wood, Brown Sugar, Leather, Maple Syrup, Wood, Anise, Herbs, Licorice, Menthol, Pepper, Dates, Sweet, Compost, Cut Grass, Smooth"
"2012 Yunnan Sourcing ""Yong De Blue Label"" Ripe Pu-erh tea cake,",Pu'er,Yunnan,0.16,84,"Cherry, Cocoa, Leather, Root Beer, Tobacco, Biting, Bitter, Camphor, Coffee, Drying, Fish Broth, Molasses, Salty, Sweet, Umami, Creamy, Forest Floor, Medicinal, Smooth, Bread, Wood, Chocolate, Earth, Fruity, Cake, Oak, Vanilla, Cacao, Smoke, Smoked, Rose"
2005 Naka,Pu'er,White2tea,1.54,85,"Mineral, Scotch, Smoke, Spicy, Tobacco, Wet Earth, Wet Wood, Smooth, Sour, Almond, Oak, Plum, Apricot, Wood, Dried Fruit, Medicinal, Pine, Raisins, Astringent, Decayed Wood, Drying, Sap, Wet wood"
Fengqing Ancient Tree Raw Pu-erh Cake 2014,Pu'er,Teavivre,0.13,78,"Cream, Smoke, Spinach, Sweet, Tobacco, Vegetal, Drying, Earth, Honeysuckle, Perfume, Wood, Floral, Pepper, Grass, Hay, Honey, Sweet, Warm Grass"
2006 White2Tea Old Bear Fangcha,Pu'er,White2tea,0.26,80,"Bitter, Campfire, Cedar, Dates, Drying, Peat, Smooth, Sweet, Tar, Wet Wood, Smoke, Tobacco, Camphor, Decayed Wood, Earth, Pine, Sap, Wood, Musty, Spicy, Wet wood, Peat Moss, Sugarcane, Anise, Smoked"
2016 Beneath an Emerald Sea,Pu'er,Crimson,0.5,83,"Butterscotch, Caramel, Cream, Creamy, Custard, Floral, Guava, Honey, Honeysuckle, Mango, Orchid, Pineapple, Sugarcane, Vanilla, Bitter, Bread, Camphor, Compost, Cut Grass, Dandelion, Dates, Fruity, Lemon Zest, Nutmeg, Peach, Sweet, Thick, Tobacco, Walnut, Wood, Green Pepper, Citrus, Hay, Raisins, Sweet, Warm Grass, Wet Wood, Moss, Vegetal, Earth, Mint, Asparagus, Astringent, Spices, Sweet Potatoes, Apricot, Broth, Grass, Lemongrass, Lettuce, Seaweed, Green, Green Beans, Herbaceous, Lemon, Smoke, Herbs, Sage"
2015 Yunnan Sourcing Green Miracle Wild Arbor Ripe Puerh Tea,Pu'er,Yunnan,0.34,83,"Bread, Coffee, Cookie, Creamy, Dark Bittersweet, Pastries, Toffee, Vanilla, Wet Earth, Almond, Chocolate, Flowers, Sweet, Cocoa, Metallic, Mineral, Salty, Wood, Bark, Caramel, Cherry Wood, Cream, Dark Chocolate, Earth, Oats, Petrichor, Spices, Wet Wood, Salt, Butterscotch, Thick, Licorice, Brown Sugar, Smooth, Toasted, Wet Moss, Wet wood, Astringent, Tangy, Dirt, Forest Floor, Bitter, Cherry, Honey"
2012 Huron Gold Needle Shou Pu-erh,Pu'er,Pines,0.26,89,"Bread, Chocolate, Loam, Meat, Mint, Mushrooms, Round, Smooth, Sweet, Warm Grass, Walnut, Wet Earth, Wet Moss, Wet Rocks, Wet Wood, Cocoa, Cream, Mineral, Moss, Forest Floor, Earth, Creamy, Sweet"
2015 Old Reliable – Ripe Puer House Blend,Pu'er,White2tea,0.27,82,"Plum, Smooth, Sweet, Bitter, Cocoa, Coffee, Cream, Malt, Mushrooms, Vanilla, Wet Wood, Cherry, Creamy, Tobacco, Wood, Earth, Loam, Rice, Roasted Nuts, Cedar, Spices, Wet Earth, Wet Moss, Wet wood, Caramel, Smoke"
Fengqing Raw Pu-erh Cake Tea 2006,Pu'er,Teavivre,0.14,75,"Ash, Astringent, Bitter, Black Pepper, Char, Earth, Green Pepper, Pepper, Smoke, Tobacco, Cinnamon, Pine, Raisins, Dandelion, Anise"
